X, м	Y, м	В, Тл
-0,17	-0,135	0
-0,17	-0,125	0
-0,17	-0,115	0
-0,17	-0,105	0
-0,17	-0,095	0
-0,17	-0,085	0
-0,17	-0,075	0
-0,17	-0,065	0
-0,17	-0,055	0
-0,17	-0,045	0
-0,17	-0,035	0
-0,17	-0,025	0
-0,17	-0,015	0
-0,17	-0,005	0
-0,17	0,005	0
-0,17	0,015	0,0024
-0,17	0,025	0,00225
-0,17	0,035	0,0021
-0,17	0,045	0,00195
-0,17	0,055	0,0018
-0,17	0,065	0,00165
-0,17	0,075	0,0015
-0,17	0,085	0,0013
-0,17	0,095	0,0011
-0,17	0,105	0,00095
-0,17	0,115	0,0008
-0,16	-0,135	0,00055
-0,16	-0,125	0,000725
-0,16	-0,115	0,0009
-0,16	-0,105	0,001115789
-0,16	-0,095	0,001331579
-0,16	-0,085	0,001547368
-0,16	-0,075	0,001763158
-0,16	-0,065	0,001978947
-0,16	-0,055	0,002194737
-0,16	-0,045	0,002410526
-0,16	-0,035	0,002626316
-0,16	-0,025	0,002842105
-0,16	-0,015	0,003125
-0,16	-0,005	0,00345
-0,16	0,005	0,0036
-0,16	0,015	0,0036
-0,16	0,025	0,0035
-0,16	0,035	0,00335
-0,16	0,045	0,0032
-0,16	0,055	0,00275
-0,16	0,065	0,0026
-0,16	0,075	0,0022
-0,16	0,085	0,002
-0,16	0,095	0,00155
-0,16	0,105	0,00115
-0,16	0,115	0,001
-0,15	-0,135	0,000733333
-0,15	-0,125	0,000966667
-0,15	-0,115	0,0012
-0,15	-0,105	0,0015
-0,15	-0,095	0,0018
-0,15	-0,085	0,0022
-0,15	-0,075	0,0026
-0,15	-0,065	0,00305
-0,15	-0,055	0,0035
-0,15	-0,045	0,00385
-0,15	-0,035	0,0042
-0,15	-0,025	0,0045
-0,15	-0,015	0,0048
-0,15	-0,005	0,0048
-0,15	0,005	0,0048
-0,15	0,015	0,0048
-0,15	0,025	0,0047
-0,15	0,035	0,0046
-0,15	0,045	0,00415
-0,15	0,055	0,0037
-0,15	0,065	0,0033
-0,15	0,075	0,0029
-0,15	0,085	0,00245
-0,15	0,095	0,002
-0,15	0,105	0,0016
-0,15	0,115	0,0012
-0,14	-0,135	0,000916667
-0,14	-0,125	0,00115
-0,14	-0,115	0,0015
-0,14	-0,105	0,002025
-0,14	-0,095	0,00255
-0,14	-0,085	0,00295
-0,14	-0,075	0,004
-0,14	-0,065	0,00445
-0,14	-0,055	0,00565
-0,14	-0,045	0,006
-0,14	-0,035	0,00695
-0,14	-0,025	0,0077
-0,14	-0,015	0,008
-0,14	-0,005	0,008
-0,14	0,005	0,007933333
-0,14	0,015	0,0078
-0,14	0,025	0,0075
-0,14	0,035	0,0074
-0,14	0,045	0,00695
-0,14	0,055	0,006
-0,14	0,065	0,0056
-0,14	0,075	0,00455
-0,14	0,085	0,0041
-0,14	0,095	0,00285
-0,14	0,105	0,00245
-0,14	0,115	0,0017
-0,13	-0,135	0,0011
-0,13	-0,125	0,0015
-0,13	-0,115	0,0019
-0,13	-0,105	0,0026
-0,13	-0,095	0,0033
-0,13	-0,085	0,00435
-0,13	-0,075	0,0054
-0,13	-0,065	0,0066
-0,13	-0,055	0,0078
-0,13	-0,045	0,00875
-0,13	-0,035	0,0097
-0,13	-0,025	0,01045
-0,13	-0,015	0,0112
-0,13	-0,005	0,011066667
-0,13	0,005	0,010933333
-0,13	0,015	0,0108
-0,13	0,025	0,0105
-0,13	0,035	0,0102
-0,13	0,045	0,00925
-0,13	0,055	0,0083
-0,13	0,065	0,00725
-0,13	0,075	0,0062
-0,13	0,085	0,00495
-0,13	0,095	0,0037
-0,13	0,105	0,00295
-0,13	0,115	0,0022
-0,12	-0,135	0,001433333
